label,name,subject,x,y
0.0,102586,Giants Win The Pennant,-0.0584865638066,0.0640187381073
0.0,102587,Re Minnesota Pitching,-0.066056856027,0.0677953805301
0.0,102588,Brewers injuries,-0.0318057775711,0.016519999176
0.0,102589,Binaca Blast Deep Drive Derby BBDDD Returns,-0.0378216076107,0.0155643296826
0.0,102590,Re DESIGNATED HITTER RULE,-0.0852215168727,0.0529148526881
0.0,102591,ATAS N L games standings of all,-0.0808124232495,0.157486414981
0.0,102592,Bill James Player Rating Book,-0.00926129866189,0.0396415890464
0.0,102593,Dodgers newsletter,-0.0266105609441,-0.00692140796321
0.0,102594,MARLINS WIN MARLINS WIN,-0.0680716786283,0.0398670688494
0.0,102595,Re NO JOKE ROCKIES HAVE ATTENDANCE RECORD,-0.0587046804726,0.0590034618024
0.0,102596,Re Tickets etc,-0.0029304525767,0.0859260845247
0.0,102597,Scott Erickson,-0.0360242505135,-0.0226853125812
0.0,102598,Re ESPN TBS GAMES,-0.0511508900494,0.0176162650209
0.0,102599,Re Finnally the Phils have support,-0.0697473162073,0.0922263854239
0.0,102600,With a surge in the last two weeks,-0.0384724670185,-0.00739656351493
0.0,102601,quick way to tell if your local beat writer is dumb,-0.0199325679618,0.0298300272215
0.0,102602,Re Mike Francesa s Predictions,-0.0383452102835,0.0651374267113
0.0,102603,Re Finnally the Phils have support,-0.0709003573512,0.0631145206924
0.0,102604,Re Young Catchers,-0.0591688102025,0.108278853095
0.0,102605,Re NL East Champion PHILLIES,-0.0464636822019,0.0180451468247
0.0,102606,Re Mike Francesa s Predictions,-0.0481563398363,-0.0160671244936
0.0,102607,A Move we won t see was Why The RedFlops Can but won t win,-0.0479847288524,0.0480295287063
0.0,102608,Re My Belated Predictions NL,-0.0633461126619,0.14039335378
0.0,102609,Re ESPN and Expansion,-0.0692922015402,0.131630652282
0.0,102610,Rockies opening day cast,-0.0398512952675,0.0781260338198
0.0,102611,Rockies and Rangers fans Please help me,-0.0558726828093,0.0144697686229
0.0,102612,Opening Day of,-0.0326123719171,0.047560735785
0.0,102613,Re Wohlers to minors,-0.0576685382446,0.0167587415483
0.0,102614,Re Minnesota Pitching,-0.0577350788549,0.0683278859114
0.0,102615,Re My Belated Predictions NL,-0.0273610963382,0.0435335139991
0.0,102616,Re With a surge in the last two weeks,-0.0426143288406,0.00460710105175
0.0,102617,Where can I find baseball statistics,-0.04322611674,0.0996497946388
0.0,102618,Grateful Dead,-0.0249846255876,0.0187354931125
0.0,102619,G Williams sent down Yanks win AL East,-0.055934980388,0.0664734569817
0.0,102620,Re Bo was a good player you shorts plus idiots,-0.0752602711243,0.123709733438
0.0,102621,Re Young Catchers,-0.0339039243602,0.105975676134
0.0,102622,Re quick way to tell if your local beat writer is dumb,-0.0571255822485,0.047831754312
0.0,102623,Re Young Catchers,-0.0444721445574,0.0749559452098
0.0,102624,Red Sox win st,-0.0553844959833,0.0518319914358
0.0,102625,Re quick way to tell if your local beat writer is dumb,-0.0270651036944,0.0237105615752
0.0,102626,Re Young Catchers,-0.0146323169378,0.014057665469
0.0,102627,Re Finnally the Phils have support,-0.079389483896,0.119051026932
0.0,102628,New Uniforms,-0.0507920004232,0.0872136329523
0.0,102629,Re Players Overpaid,-0.052809142199,0.0807555452099
0.0,102630,Vegas odds,-0.0202542153123,-0.0279096297564
0.0,102631,rec sport baseball fantasy,-0.0271937782693,0.0803426117951
0.0,102632,Jim Lefebvre is an idiot,-0.0640888339517,0.121610190301
0.0,102633,Re Best Second Baseman,-0.0415130782713,0.0980679723707
0.0,102634,Re Jim Lefebvre is an idiot,-0.0709854117817,0.084121002743
0.0,102635,Re Giants GM Quinn is a genius,-0.0556551109063,0.0498832890135
0.0,102636,Re harry and candy,-0.0268273990828,0.0212457944163
0.0,102637,A L East is best in baseball,-0.0572248961138,0.0756456847753
0.0,102638,Re My Belated Predictions NL,-0.0393373189706,0.0968929369118
0.0,102639,Re quick way to tell if your local beat writer is dumb,-0.0176784119639,0.0265573878583
0.0,102640,Phils are still looking immaculate,-0.040832638434,0.0469000699151
0.0,102641,Quick easy question,-0.0169291195624,-0.000654456963922
0.0,102642,Re Finnally the Phils have support,-0.00371169546518,-0.00205280282528
0.0,102643,Re quick way to tell if your local beat writer is dumb,-0.0213979002682,0.0289117858426
0.0,102644,Re Quick easy question,-0.0246395795807,-0.00616187927165
0.0,102645,Trivia Question,-0.0159540053266,0.0495661323908
0.0,102646,Re Best Second Baseman,-0.0235463167899,0.0692375503571
0.0,102647,Re ESPN and Expansion,-0.0821974938213,0.14794087434
0.0,102648,Re Bo was a good player you shorts plus idiots,-0.0593342561411,0.156299477054
0.0,102649,Re My Belated Predictions NL,-0.0505852926609,0.13129413297
0.0,102650,Re Jim Lefebvre is an idiot,-0.04569207523,0.0913069106924
0.0,102651,Re New Uniforms,-0.0501810352735,0.0921878210579
0.0,102652,Re Jim Lefebvre is an idiot,-0.0561087085822,0.0592415326072
0.0,102653,Re Billy gets cheers in Baltimore,-0.0597829958569,0.0915696082479
0.0,102654,Re quick way to tell if your local beat writer is dumb,-0.0210344931155,0.0349453992058
0.0,102655,Re DESIGNATED HITTER RULE,-0.0802883667133,0.0400549386002
0.0,102656,Re Rickey Henderson,-0.0564180110398,0.00516476088217
0.0,102657,Re DESIGNATED HITTER RULE,-0.0403626226349,0.0284275162588
0.0,102658,Re Why The RedFlops Can but won t win,-0.0752865372942,0.0838721058849
0.0,102659,Re David Wells,-0.0410941533302,0.0365108491566
0.0,102660,Re Cleveland tragedy,-0.0340887300848,-0.0248484823023
0.0,102661,Re Pinch Hitters WAS Re Denny Walling,-0.0673741786177,0.112889648402
0.0,102662,Re MARLINS WIN MARLINS WIN,-0.0773958201238,0.0496098444836
0.0,102663,Re New Uniforms,-0.0344309239601,0.0610688543611
0.0,102664,O s lose openr at home to Rangers,0.00468098321574,-0.0505735018487
0.0,102665,MLB logos Part,-0.0248018522773,-0.0116511403886
0.0,102666,My Predictions,-0.0597825362987,0.11534821185
0.0,102667,day day day disabled list questions,-0.0175807357702,0.00282392324992
0.0,102668,Re Young Catchers,-0.0639156299258,0.163377062265
0.0,102669,Re Young Catchers,-0.0427129644533,0.0652699516528
0.0,102670,MLB Standings and Scores for Tue Apr th,-0.0245445628093,0.0444122144701
0.0,102671,Braves win opener,-0.0407944332906,0.1175624365
0.0,102672,Re Rickey Henderson,-0.03427886569,0.0235369076191
